district,week_start,week_of_year,lst_celsius,rainfall_mm,ndwi_index,humidity_proxy_pct,population_density,dengue_cases,lst_lag2,rainfall_lag2,ndwi_lag2,humidity_lag2,lst_lag4,rainfall_lag4,ndwi_lag4,humidity_lag4,lst_lag6,rainfall_lag6,ndwi_lag6,humidity_lag6,rainfall_roll4,ndwi_roll4,humidity_roll4,month,is_monsoon_season,is_post_monsoon,cases_lag1,cases_lag4,cases_roll4,target_cases_4wk_ahead
Bhubaneswar,2019-02-18,8,25.76,0.0,-0.194,40.4,2100.9,3,27.07,0.0,-0.194,40.2,23.9,0.75,-0.183,40.1,21.47,0.0,-0.203,40.1,1.725,-0.17975000000000002,40.275000000000006,2,0,0,4.0,3.0,3.0,4.0
Bhubaneswar,2019-02-25,9,25.47,2.66,-0.163,40.6,2098.6,2,24.84,4.48,-0.142,40.3,23.05,2.42,-0.189,40.2,22.58,0.0,-0.228,40.1,1.7850000000000001,-0.17325,40.375,2,0,0,3.0,3.0,2.75,4.0
Bhubaneswar,2019-03-04,10,29.46,0.0,-0.179,40.8,2106.9,3,25.76,0.0,-0.194,40.4,27.07,0.0,-0.194,40.2,23.9,0.75,-0.183,40.1,1.7850000000000001,-0.1695,40.525,3,0,0,2.0,2.0,3.0,6.0
Bhubaneswar,2019-03-11,11,29.28,0.75,-0.16,41.0,2100.9,5,25.47,2.66,-0.163,40.6,24.84,4.48,-0.142,40.3,23.05,2.42,-0.189,40.2,0.8525,-0.174,40.699999999999996,3,0,0,3.0,4.0,3.25,7.0
Bhubaneswar,2019-03-18,12,30.04,0.0,-0.202,41.3,2096.9,4,29.46,0.0,-0.179,40.8,25.76,0.0,-0.194,40.4,27.07,0.0,-0.194,40.2,0.8525,-0.17600000000000002,40.925,3,0,0,5.0,3.0,3.5,6.0
Bhubaneswar,2019-03-25,13,29.31,2.79,-0.243,41.6,2106.9,4,29.28,0.75,-0.16,41.0,25.47,2.66,-0.163,40.6,24.84,4.48,-0.142,40.3,0.885,-0.196,41.175,3,0,0,4.0,2.0,4.0,6.0
Bhubaneswar,2019-04-01,14,29.83,0.0,-0.146,42.0,2105.3,6,30.04,0.0,-0.202,41.3,29.46,0.0,-0.179,40.8,25.76,0.0,-0.194,40.4,0.885,-0.18775,41.474999999999994,4,0,0,4.0,3.0,4.75,8.0
Bhubaneswar,2019-04-08,15,29.1,2.52,-0.116,42.5,2096.5,7,29.31,2.79,-0.243,41.6,29.28,0.75,-0.16,41.0,25.47,2.66,-0.163,40.6,1.3275000000000001,-0.17675,41.849999999999994,4,0,0,6.0,5.0,5.25,6.0
Bhubaneswar,2019-04-15,16,30.95,6.0,-0.132,43.1,2099.6,6,29.83,0.0,-0.146,42.0,30.04,0.0,-0.202,41.3,29.46,0.0,-0.179,40.8,2.8275,-0.15925,42.300000000000004,4,0,0,7.0,4.0,5.75,8.0
Bhubaneswar,2019-04-22,17,31.32,3.66,-0.22,43.7,2100.0,6,29.1,2.52,-0.116,42.5,29.31,2.79,-0.243,41.6,29.28,0.75,-0.16,41.0,3.045,-0.1535,42.825,4,0,0,6.0,4.0,6.25,10.0
Bhubaneswar,2019-04-29,18,31.47,6.1,-0.127,44.5,2103.8,8,30.95,6.0,-0.132,43.1,29.83,0.0,-0.146,42.0,30.04,0.0,-0.202,41.3,4.57,-0.14875,43.45,4,0,0,6.0,6.0,6.75,9.0
