district,week_start,week_of_year,lst_celsius,rainfall_mm,ndwi_index,humidity_proxy_pct,population_density,dengue_cases
Delhi,2019-01-07,2,24.17,0.0,-0.195,40.1,11295.6,3
Delhi,2019-01-14,3,19.84,0.0,-0.206,40.1,11291.0,2
Delhi,2019-01-21,4,26.91,0.1,-0.211,40.1,11300.4,3
Delhi,2019-01-28,5,22.58,0.0,-0.202,40.2,11290.1,4
Delhi,2019-02-04,6,26.17,0.25,-0.239,40.2,11293.7,3
Delhi,2019-02-11,7,24.75,0.0,-0.192,40.3,11302.0,3
Delhi,2019-02-18,8,24.21,0.0,-0.21,40.4,11316.4,4
Delhi,2019-02-25,9,25.44,0.0,-0.23,40.6,11295.3,3
Delhi,2019-03-04,10,27.21,0.02,-0.232,40.8,11295.0,4
Delhi,2019-03-11,11,27.72,0.0,-0.189,41.0,11292.1,5
Delhi,2019-03-18,12,27.84,0.0,-0.196,41.3,11301.0,3
Delhi,2019-03-25,13,26.83,0.04,-0.164,41.6,11298.2,3
Delhi,2019-04-01,14,28.53,0.85,-0.193,42.0,11304.1,4
Delhi,2019-04-08,15,29.66,0.0,-0.235,42.5,11315.8,5
Delhi,2019-04-15,16,30.5,0.0,-0.166,43.1,11310.4,4
Delhi,2019-04-22,17,31.6,1.53,-0.168,43.7,11308.7,6
Delhi,2019-04-29,18,31.55,4.97,-0.151,44.5,11310.2,5
Delhi,2019-05-06,19,34.03,2.85,-0.24,45.3,11311.7,6
Delhi,2019-05-13,20,31.04,3.63,-0.09,46.2,11303.8,7
Delhi,2019-05-20,21,34.95,4.48,-0.155,47.1,11299.9,9
Delhi,2019-05-27,22,34.88,10.13,-0.122,48.1,11310.5,10
Delhi,2019-06-03,23,36.18,9.21,-0.115,49.1,11309.8,10
Delhi,2019-06-10,24,32.23,13.13,-0.079,50.1,11309.0,11
Delhi,2019-06-17,25,34.04,10.18,-0.13,51.1,11319.0,9
Delhi,2019-06-24,26,31.14,14.57,-0.044,52.0,11317.2,12
Delhi,2019-07-01,27,30.85,16.52,-0.093,52.9,11313.4,13
Delhi,2019-07-08,28,32.72,17.34,-0.064,53.6,11312.0,12
Delhi,2019-07-15,29,30.96,23.64,0.01,54.2,11312.4,12
Delhi,2019-07-22,30,31.69,23.23,0.023,54.6,11316.1,9
Delhi,2019-07-29,31,30.96,16.13,-0.006,54.9,11312.2,11
Delhi,2019-08-05,32,30.88,16.35,-0.014,55.0,11317.0,12
Delhi,2019-08-12,33,29.77,15.32,-0.063,54.9,11309.4,14
Delhi,2019-08-19,34,28.66,12.31,-0.083,54.6,11325.0,13
Delhi,2019-08-26,35,27.24,10.42,-0.012,54.2,11320.7,13
Delhi,2019-09-02,36,25.56,10.66,-0.062,53.6,11308.2,10
Delhi,2019-09-09,37,24.77,8.08,-0.137,52.9,11315.4,11
Delhi,2019-09-16,38,25.63,9.89,-0.127,52.0,11312.0,10
Delhi,2019-09-23,39,25.4,11.95,-0.107,51.1,11325.2,11
Delhi,2019-09-30,40,24.03,5.49,-0.105,50.1,11315.4,9
Delhi,2019-10-07,41,23.11,4.34,-0.187,49.1,11317.2,9
Delhi,2019-10-14,42,23.59,3.9,-0.109,48.1,11322.3,9
Delhi,2019-10-21,43,23.78,4.62,-0.204,47.1,11325.0,21
Delhi,2019-10-28,44,22.61,0.0,-0.248,46.2,11320.2,9
Delhi,2019-11-04,45,22.33,5.21,-0.143,45.3,11318.9,6
Delhi,2019-11-11,46,21.62,2.12,-0.228,44.5,11315.4,6
Delhi,2019-11-18,47,20.94,5.97,-0.19,43.7,11326.6,6
Delhi,2019-11-25,48,21.31,0.99,-0.139,43.1,11322.0,6
Delhi,2019-12-02,49,20.02,0.0,-0.232,42.5,11323.8,6
Delhi,2019-12-09,50,23.01,0.0,-0.18,42.0,11321.5,4
Delhi,2019-12-16,51,21.98,3.18,-0.147,41.6,11317.3,4
Delhi,2019-12-23,52,22.05,7.62,-0.134,41.3,11325.0,5
Delhi,2019-12-30,1,21.95,2.55,-0.133,40.0,11320.5,5
Delhi,2020-01-06,2,20.63,0.0,-0.233,40.1,11320.2,4
Delhi,2020-01-13,3,23.14,2.42,-0.138,40.1,11316.8,4
Delhi,2020-01-20,4,23.53,0.0,-0.172,40.1,11325.5,4
Delhi,2020-01-27,5,22.89,0.0,-0.164,40.2,11324.0,4
Delhi,2020-02-03,6,24.07,1.38,-0.2,40.2,11322.1,3
Delhi,2020-02-10,7,24.34,3.08,-0.178,40.3,11329.1,18
Delhi,2020-02-17,8,26.94,3.49,-0.196,40.4,11325.0,4
Delhi,2020-02-24,9,26.78,1.43,-0.173,40.6,11317.4,3
Delhi,2020-03-02,10,26.54,1.62,-0.191,40.8,11332.5,5
Delhi,2020-03-09,11,26.75,1.05,-0.192,41.0,11325.2,3
Delhi,2020-03-16,12,29.6,0.0,-0.173,41.3,11327.4,5
Delhi,2020-03-23,13,29.85,3.51,-0.144,41.6,11330.3,5
Delhi,2020-03-30,14,29.98,1.85,-0.167,42.0,11329.6,5
Delhi,2020-04-06,15,30.53,3.13,-0.175,42.5,11332.0,4
Delhi,2020-04-13,16,31.89,3.86,-0.173,43.1,11339.2,5
Delhi,2020-04-20,17,29.57,2.12,-0.179,43.7,11325.8,7
Delhi,2020-04-27,18,31.58,5.34,-0.152,44.5,11337.0,7
Delhi,2020-05-04,19,31.66,5.72,-0.143,45.3,11323.5,7
Delhi,2020-05-11,20,32.89,1.45,-0.163,46.2,11335.0,8
Delhi,2020-05-18,21,32.5,8.34,-0.076,47.1,11335.6,8
Delhi,2020-05-25,22,31.86,7.16,-0.14,48.1,11332.8,8
Delhi,2020-06-01,23,33.78,9.74,-0.147,49.1,11335.6,8
Delhi,2020-06-08,24,32.15,16.58,-0.083,50.1,11333.5,10
Delhi,2020-06-15,25,34.51,16.26,-0.028,51.1,11332.4,9
Delhi,2020-06-22,26,31.56,18.08,-0.038,52.0,11341.7,9
Delhi,2020-06-29,27,32.89,15.74,-0.054,52.9,11334.1,12
Delhi,2020-07-06,28,33.34,14.69,-0.098,53.6,11331.0,11
Delhi,2020-07-13,29,30.08,20.25,-0.025,54.2,11330.8,11
Delhi,2020-07-20,30,31.39,16.36,-0.065,54.6,11334.7,15
Delhi,2020-07-27,31,30.7,18.44,-0.019,54.9,11331.3,11
Delhi,2020-08-03,32,29.31,17.26,-0.045,55.0,11329.3,10
Delhi,2020-08-10,33,28.41,16.67,-0.094,54.9,11335.4,13
Delhi,2020-08-17,34,29.47,12.22,-0.088,54.6,11330.0,13
Delhi,2020-08-24,35,28.05,13.15,-0.064,54.2,11334.8,12
Delhi,2020-08-31,36,26.88,13.95,-0.085,53.6,11337.8,10
Delhi,2020-09-07,37,25.25,10.99,-0.082,52.9,11336.0,12
Delhi,2020-09-14,38,25.45,10.6,-0.1,52.0,11335.4,12
Delhi,2020-09-21,39,22.92,8.97,-0.067,51.1,11331.7,10
Delhi,2020-09-28,40,26.04,9.92,-0.12,50.1,11335.7,10
Delhi,2020-10-05,41,22.21,4.57,-0.119,49.1,11336.7,8
Delhi,2020-10-12,42,21.44,3.2,-0.166,48.1,11349.7,9
Delhi,2020-10-19,43,22.5,0.54,-0.177,47.1,11337.7,7
Delhi,2020-10-26,44,24.39,1.21,-0.216,46.2,11338.8,7
Delhi,2020-11-02,45,21.94,1.73,-0.184,45.3,11345.4,8
Delhi,2020-11-09,46,20.0,1.83,-0.174,44.5,11337.8,6
Delhi,2020-11-16,47,19.09,0.16,-0.224,43.7,11344.9,6
Delhi,2020-11-23,48,23.34,2.28,-0.228,43.1,11342.1,5
Delhi,2020-11-30,49,20.4,0.0,-0.145,42.5,11348.5,5
Delhi,2020-12-07,50,21.17,0.0,-0.191,42.0,11335.3,5
Delhi,2020-12-14,51,22.13,0.0,-0.218,41.6,11342.0,3
Delhi,2020-12-21,52,20.96,0.0,-0.108,41.3,11345.5,4
Delhi,2020-12-28,53,21.32,0.0,-0.187,41.0,11336.1,6
Delhi,2021-01-04,1,21.7,0.0,-0.237,40.0,11353.5,4
Delhi,2021-01-11,2,24.09,0.99,-0.171,40.1,11345.2,4
Delhi,2021-01-18,3,21.94,0.0,-0.209,40.1,11341.6,3
Delhi,2021-01-25,4,20.76,0.0,-0.209,40.1,11339.6,4
Delhi,2021-02-01,5,25.84,2.48,-0.153,40.2,11347.5,3
Delhi,2021-02-08,6,23.67,0.0,-0.185,40.2,11342.5,3
Delhi,2021-02-15,7,24.37,1.79,-0.219,40.3,11347.7,3
Delhi,2021-02-22,8,26.33,1.21,-0.159,40.4,11339.1,4
Delhi,2021-03-01,9,28.0,0.1,-0.18,40.6,11357.6,4
Delhi,2021-03-08,10,26.56,2.46,-0.225,40.8,11357.0,3
Delhi,2021-03-15,11,27.42,1.81,-0.208,41.0,11352.7,4
Delhi,2021-03-22,12,27.07,2.61,-0.227,41.3,11354.6,5
Delhi,2021-03-29,13,28.18,3.7,-0.145,41.6,11347.3,4
Delhi,2021-04-05,14,30.02,1.14,-0.207,42.0,11359.7,5
Delhi,2021-04-12,15,29.97,0.84,-0.182,42.5,11353.1,6
Delhi,2021-04-19,16,31.95,2.41,-0.205,43.1,11350.3,6
Delhi,2021-04-26,17,30.74,4.45,-0.231,43.7,11347.7,5
Delhi,2021-05-03,18,32.37,4.93,-0.108,44.5,11358.4,5
Delhi,2021-05-10,19,32.14,2.32,-0.107,45.3,11358.0,6
Delhi,2021-05-17,20,30.68,5.27,-0.216,46.2,11356.2,8
Delhi,2021-05-24,21,32.76,4.79,-0.182,47.1,11362.4,8
Delhi,2021-05-31,22,35.23,8.66,-0.112,48.1,11351.6,8
Delhi,2021-06-07,23,31.9,12.69,-0.056,49.1,11354.4,10
Delhi,2021-06-14,24,31.98,13.69,-0.076,50.1,11357.0,8
Delhi,2021-06-21,25,30.38,12.69,-0.138,51.1,11356.7,9
Delhi,2021-06-28,26,31.54,17.55,-0.062,52.0,11356.5,11
Delhi,2021-07-05,27,31.71,20.73,0.035,52.9,11352.9,10
Delhi,2021-07-12,28,33.19,17.89,-0.004,53.6,11358.0,12
Delhi,2021-07-19,29,31.6,17.74,-0.021,54.2,11353.6,11
Delhi,2021-07-26,30,31.59,16.41,-0.033,54.6,11367.1,9
Delhi,2021-08-02,31,31.4,13.51,-0.014,54.9,11361.5,13
Delhi,2021-08-09,32,31.55,14.3,-0.108,55.0,11366.5,13
Delhi,2021-08-16,33,31.61,12.59,-0.083,54.9,11364.4,11
Delhi,2021-08-23,34,28.57,17.27,-0.062,54.6,11361.5,12
Delhi,2021-08-30,35,26.7,15.17,-0.048,54.2,11358.0,12
Delhi,2021-09-06,36,28.15,13.82,-0.081,53.6,11360.4,13
Delhi,2021-09-13,37,25.79,12.5,-0.11,52.9,11358.6,12
Delhi,2021-09-20,38,26.59,6.43,-0.134,52.0,11359.8,12
Delhi,2021-09-27,39,25.05,3.68,-0.118,51.1,11364.1,22
Delhi,2021-10-04,40,25.36,7.08,-0.167,50.1,11360.4,9
Delhi,2021-10-11,41,21.94,4.06,-0.127,49.1,11365.0,8
Delhi,2021-10-18,42,22.61,4.81,-0.108,48.1,11362.4,8
Delhi,2021-10-25,43,21.21,0.66,-0.224,47.1,11357.8,8
Delhi,2021-11-01,44,20.81,1.59,-0.227,46.2,11354.6,7
Delhi,2021-11-08,45,18.79,3.21,-0.171,45.3,11364.9,6
Delhi,2021-11-15,46,22.98,2.56,-0.215,44.5,11367.6,6
Delhi,2021-11-22,47,21.11,0.0,-0.216,43.7,11364.0,6
Delhi,2021-11-29,48,20.68,3.78,-0.169,43.1,11363.4,5
Delhi,2021-12-06,49,22.06,2.13,-0.178,42.5,11370.7,3
Delhi,2021-12-13,50,21.26,0.0,-0.201,42.0,11370.4,6
Delhi,2021-12-20,51,21.49,1.55,-0.196,41.6,11359.9,5
Delhi,2021-12-27,52,22.99,2.52,-0.219,41.3,11365.3,3
Delhi,2022-01-03,1,21.04,0.0,-0.205,40.0,11373.1,4
Delhi,2022-01-10,2,21.74,2.55,-0.191,40.1,11361.9,5
Delhi,2022-01-17,3,22.68,4.58,-0.175,40.1,11372.9,4
Delhi,2022-01-24,4,20.17,0.0,-0.212,40.1,11375.0,5
Delhi,2022-01-31,5,24.52,3.69,-0.164,40.2,11363.3,4
Delhi,2022-02-07,6,24.52,0.0,-0.172,40.2,11366.5,3
Delhi,2022-02-14,7,27.15,0.0,-0.151,40.3,11370.2,3
Delhi,2022-02-21,8,28.32,0.47,-0.177,40.4,11373.0,3
Delhi,2022-02-28,9,27.46,4.68,-0.182,40.6,11363.9,2
Delhi,2022-03-07,10,28.09,0.58,-0.211,40.8,11367.5,2
Delhi,2022-03-14,11,27.12,0.0,-0.187,41.0,11372.6,3
Delhi,2022-03-21,12,28.0,0.0,-0.25,41.3,11367.2,4
Delhi,2022-03-28,13,30.01,0.64,-0.156,41.6,11380.3,6
Delhi,2022-04-04,14,29.76,0.51,-0.194,42.0,11375.0,4
Delhi,2022-04-11,15,31.18,0.92,-0.141,42.5,11371.1,5
Delhi,2022-04-18,16,31.66,6.68,-0.179,43.1,11365.3,4
Delhi,2022-04-25,17,31.08,1.4,-0.136,43.7,11378.0,7
Delhi,2022-05-02,18,30.21,9.66,-0.165,44.5,11372.5,6
Delhi,2022-05-09,19,31.54,2.51,-0.145,45.3,11374.6,7
Delhi,2022-05-16,20,31.67,5.56,-0.112,46.2,11375.5,8
Delhi,2022-05-23,21,35.71,3.47,-0.129,47.1,11371.2,8
Delhi,2022-05-30,22,35.15,9.11,-0.159,48.1,11376.3,9
Delhi,2022-06-06,23,36.3,10.97,-0.083,49.1,11365.2,10
Delhi,2022-06-13,24,31.76,11.02,-0.09,50.1,11373.5,8
